Type,Latitude,Longitude,Message
Roadwork,1.318477714989128,103.95183531058522,(16/3)10:24 Roadworks on Upper East Coast Road (towards Changi) after Bedok South Road. Avoid right lane.
Roadwork,1.3491360275850928,103.87336976213803,(16/3)10:24 Roadworks on Upper Serangoon Road (towards City) after Serangoon Central.
Roadwork,1.3156690552958614,103.84487448770706,(16/3)10:15 Roadworks on Thomson Road (towards SLE) after Kampong Java Road. Avoid left lane.
Roadwork,1.3016359730876212,103.83342334963072,(16/3)10:14 Roadworks on Orchard Boulevard (towards Orchard Turn) after Grange Road. Avoid right lane.
Roadwork,1.3634635743522858,103.8281059859068,(16/3)10:14 Roadworks on Upper Thomson Road (towards SLE) after Sin Ming Avenue. Avoid left lane.
Roadwork,1.3022658395476665,103.85723669102066,(16/3)10:11 Roadworks on Victoria Street (towards Arab Street) after Ophir Road. Avoid left lane.
Roadwork,1.3563705227405092,103.88094524284719,(16/3)10:11 Roadworks on Upper Serangoon Road (towards Sengkang) after Serangoon Viaduct. Avoid right lane.
Roadwork,1.3319356516275083,103.95555406964576,(16/3)10:11 Roadworks on Xilin Avenue (towards Changi South Avenue 1) after Upper Changi Road East. Avoid left lane.
Roadwork,1.3126801593370465,103.72738935603229,(16/3)10:11 Roadworks on Sungei Jurong Bridge (towards Tuas) after Penjuru Road. Avoid left lane.
Roadwork,1.3329999791207072,103.95552688690661,(16/3)10:10 Roadworks on Upper Changi Road East (toward Changi) after Simei Avenue. Avoid right lane.
Roadwork,1.2808752581128737,103.83913293082686,(16/3)10:08 Roadworks on Outram Road (towards Eu Tong Sen Street) after Second Hospital Avenue.
Roadwork,1.3484083088852001,103.87250560294959,(16/3)10:06 Roadworks on Upper Serangoon Road (towards Sengkang) after Serangoon Avenue 2.
Roadwork,1.3155563993678026,103.65490411048667,(16/3)10:05 Roadworks on Pioneer Road (towards City) after Tuas Avenue 2.
Roadwork,1.275406632376593,103.79421373010162,(16/3)10:02 Roadworks on Pasir Panjang Road (towards Tuas) after Jalan Pelepah. Avoid right lane.
Roadwork,1.3077388430301673,103.91989039671111,(16/3)10:01 Roadworks on Marine Parade Road (towards Marine Terrace) after Marine Vista. Avoid right lane.
Roadwork,1.351391476038307,103.70273036350538,(16/3)9:54 Roadworks on Jalan Bahar (towards PIE) after Jurong West Avenue 5. Avoid left lane.
Roadwork,1.3548807556781388,103.76902970283997,(16/3)9:52 Roadworks on Upper Bukit Timah Road (towards Woodlands) after Old Jurong Road. Avoid left lane.
Roadwork,1.3339004882622303,103.78889176127596,(16/3)9:42 Roadworks on Bukit Timah Road (towards Woodlands) after Holland Link. Avoid right lane.
Roadwork,1.326800521944761,103.84159633344579,(16/3)9:38 Roadworks on Thomson Road (towards SLE) after Chancery Lane. Avoid right lane.
Roadwork,1.3175047148086396,103.76405547177137,(16/3)9:33 Roadworks on Commonwealth Avenue West (towards Tuas) after Clementi Avenue 3. Avoid left lane.
Roadwork,1.327843135824335,103.94814080585314,(16/3)9:31 Roadworks on New Upper Changi Road (toward City) after Bedok Road. Avoid left lane.
Roadwork,1.2934135676370102,103.78547576912425,(16/3)9:30 Roadworks on North Buona Vista Road (towards South Buona Vista Road) after AYE.
Roadwork,1.2721816369387213,103.80493744504379,(16/3)9:26 Roadworks on Telok Blangah Road (towards Tuas) after Henderson Road. Avoid left lane.
