LinkID,RoadName,RoadCategory,SpeedBand,MinimumSpeed,MaximumSpeed,StartLon,StartLat,EndLon,EndLat
103000040,VERDUN ROAD,D,2,10,19,103.85571657719505,1.3094817613742067,103.85617487784177,1.3100415318076366
103000044,SYED ALWI ROAD,E,3,20,29,103.85489147379481,1.3102490949407017,103.85571657719505,1.3094817613742067
103000050,ORCHARD SPRING LANE,E,7,60,69,103.82435328722222,1.3040240949630044,103.82439062361162,1.3035181120546362
103000051,ORCHARD SPRING LANE,E,2,10,19,103.82439062361162,1.3035181120546362,103.82435328722222,1.3040240949630044
103000054,KAY SIANG ROAD,E,2,10,19,103.81184137776128,1.2977954689273836,103.81139535719257,1.2979363108403927
103000055,KAY SIANG ROAD,E,2,10,19,103.81139535719257,1.2979363108403927,103.81184137776128,1.2977954689273836
103000056,MARTABAN ROAD,E,5,40,49,103.8508428681823,1.3235238431328136,103.85149036161232,1.3241924351833945
103000062,MARTABAN ROAD,E,3,20,29,103.8508428681823,1.3235238431328136,103.85008775600024,1.3242848802266947
103000063,MARTABAN ROAD,E,7,60,69,103.85008775600024,1.3242848802266947,103.8508428681823,1.3235238431328136
103000066,JALAN TAN TOCK SENG,E,3,20,29,103.84838600107199,1.319450709571759,103.84823264087314,1.3202305802943324
103000067,JALAN TAN TOCK SENG,E,4,30,39,103.84823264087314,1.3202305802943324,103.84838600107199,1.319450709571759
103000068,SOPHIA ROAD,E,8,70,999,103.84753501033079,1.3020505931348514,103.84735684695016,1.3020981998994814
103000072,MUSCAT STREET,E,6,50,59,103.85929118664532,1.3020478491197238,103.85961424505442,1.3024623974822258
103000078,PAN ISLAND EXPRESSWAY,A,7,60,69,103.6923894384768,1.3479138498233316,103.69342360283092,1.3491170726830268
103000079,PAN ISLAND EXPRESSWAY,A,7,60,69,103.69342360283092,1.3491170726830268,103.6923894384768,1.3479138498233316
103000080,PAN ISLAND EXPRESSWAY,A,8,70,999,103.78499221155269,1.3436196253925365,103.78388724345461,1.3431444683048892
103000086,AMBER ROAD,C,3,20,29,103.90150591557894,1.3009014346769388,103.90006277560406,1.3000155854751687
103000087,AMBER ROAD,C,8,70,999,103.90006277560406,1.3000155854751687,103.90150591557894,1.3009014346769388
103000090,ANG MO KIO AVENUE 4,C,3,20,29,103.83982137005759,1.3795549789334551,103.83969577191468,1.3778764702530613
103000091,ANG MO KIO AVENUE 4,C,4,30,39,103.83969577191468,1.3778764702530613,103.83982137005759,1.3795549789334551
103000094,JALAN TUPAI,E,3,20,29,103.82687869301155,1.302018104115238,103.82774617488765,1.3025271098303324
103000095,JALAN TUPAI,E,3,20,29,103.82774617488765,1.3025271098303324,103.82687869301155,1.302018104115238
103000098,TOMLINSON ROAD,D,4,30,39,103.82621354051224,1.3034535281731428,103.82687869301155,1.302018104115238
103000099,TOMLINSON ROAD,D,4,30,39,103.82687869301155,1.302018104115238,103.82621354051224,1.3034535281731428
103000106,SHREWSBURY ROAD,E,2,10,19,103.8497306240015,1.3185208604394962,103.8484896779184,1.3182839067307601
103000107,SHREWSBURY ROAD,E,8,70,999,103.8484896779184,1.3182839067307601,103.8497306240015,1.3185208604394962
103000110,TELOK BLANGAH HEIGHTS,D,4,30,39,103.81040355919788,1.2771369059505562,103.80909264308315,1.277633353991097
103000111,TELOK BLANGAH HEIGHTS,D,4,30,39,103.80909264308315,1.277633353991097,103.81040355919788,1.2771369059505562
103000114,TELOK BLANGAH HEIGHTS,D,3,20,29,103.80909264308315,1.277633353991097,103.80767112662544,1.2780189431917124
103000115,TELOK BLANGAH HEIGHTS,D,4,30,39,103.80767112662544,1.2780189431917124,103.80909264308315,1.277633353991097
103000118,TELOK BLANGAH HEIGHTS,D,4,30,39,103.81171237266507,1.2765900388648779,103.81302172471231,1.276042945010033
103000119,TELOK BLANGAH HEIGHTS,D,4,30,39,103.81302172471231,1.276042945010033,103.81171237266507,1.2765900388648779
103000122,PAN ISLAND EXPRESSWAY,A,7,60,69,103.69440892471033,1.350438528643087,103.69536755921838,1.3517801862142893
103000123,PAN ISLAND EXPRESSWAY,A,7,60,69,103.69536755921838,1.3517801862142893,103.69440892471033,1.350438528643087
103000124,WILKINSON ROAD,F,4,30,39,103.88515409863628,1.3022604164237386,103.88506135448995,1.3020018334230383
103000128,WILKIE ROAD,E,3,20,29,103.84859614838282,1.3021332006151927,103.84892228360394,1.3019803247888424
103000134,CAMP ROAD,D,4,30,39,103.8192445570385,1.3023326560971626,103.8193666357108,1.3019259729917443
